FID	IID	phe_gcf
LBC361230	LBC361230	-0.99095229
LBC361293	LBC361293	-0.989709996
LBC360259	LBC360259	-0.988257763
LBC360791	LBC360791	-0.984549689
LBC360584	LBC360584	-0.983651701
LBC360316	LBC360316	-0.974599322
LBC360463	LBC360463	-0.971656033
LBC360067	LBC360067	-0.969002842
LBC360801	LBC360801	-0.968461187
LBC360965	LBC360965	-0.96812435
LBC361139	LBC361139	-0.965416181
LBC360042	LBC360042	-0.957854933
LBC360969	LBC360969	-0.956277464
LBC360380	LBC360380	-0.954955833
LBC360004	LBC360004	-0.953093143
LBC360214	LBC360214	-0.948542206
LBC361154	LBC361154	-0.948474112
LBC360778	LBC360778	-0.940289755
LBC360678	LBC360678	-0.933742688
LBC360764	LBC360764	-0.932646866
LBC361107	LBC361107	-0.931983161
LBC360091	LBC360091	-0.931167863
LBC360776	LBC360776	-0.925710589
LBC360442	LBC360442	-0.921942016
LBC360102	LBC360102	-0.910307984
LBC360207	LBC360207	-0.907213096
LBC361119	LBC361119	-0.899655681
LBC360301	LBC360301	-0.898054189
LBC360105	LBC360105	-0.88395133
LBC361174	LBC361174	-0.88267919
LBC360659	LBC360659	-0.880472573
LBC361280	LBC361280	-0.879291903
LBC360832	LBC360832	-0.877941435
LBC360851	LBC360851	-0.871076533
LBC360888	LBC360888	-0.866198432
LBC360131	LBC360131	-0.865636817
LBC360361	LBC360361	-0.858054395
LBC360879	LBC360879	-0.848496807
LBC360158	LBC360158	-0.840696794
LBC360959	LBC360959	-0.836415125
LBC360103	LBC360103	-0.829233114
LBC361162	LBC361162	-0.818997827
LBC360018	LBC360018	-0.816479186
LBC360024	LBC360024	-0.816158743
LBC360572	LBC360572	-0.815716429
LBC361133	LBC361133	-0.811009437
LBC360169	LBC360169	-0.810943009
LBC360388	LBC360388	-0.805243565
LBC360760	LBC360760	-0.804245342
LBC360132	LBC360132	-0.799630226
LBC361059	LBC361059	-0.795611318
LBC360684	LBC360684	-0.79185759
LBC361252	LBC361252	-0.782008575
LBC360052	LBC360052	-0.775951977
LBC360788	LBC360788	-0.774310811
LBC360514	LBC360514	-0.771724592
LBC360128	LBC360128	-0.766598131
LBC360076	LBC360076	-0.763024578
LBC361286	LBC361286	-0.762025977
LBC360034	LBC360034	-0.760971859
LBC360334	LBC360334	-0.75904697
LBC361212	LBC361212	-0.758750207
LBC360045	LBC360045	-0.757799743
LBC360082	LBC360082	-0.753756196
LBC360538	LBC360538	-0.753654691
LBC360783	LBC360783	-0.744625879
LBC361125	LBC361125	-0.744186459
LBC360395	LBC360395	-0.744116469
