FID	IID	phe_gcf
2105	2105	.421220318939676
3217	3217	-.866153328423014
5088	5088	.406541895893792
2266	2266	-.354632959510745
2007	2007	.0577165867227875
6491	6491	.928646349397871
4511	4511	1.24705536056992
5327	5327	.965428884177257
4337	4337	.930214460118746
1018	1018	-.392278798196092
7404	7404	.156384647618773
1206	1206	-.123286524137739
1229	1229	-.721931733132427
5328	5328	.0315897559696987
1122	1122	-.69532879238865
1280	1280	.809327738831214
5474	5474	.16903960471421
1267	1267	.210022690664037
3100	3100	-1.51207624071347
1044	1044	-.275276034388781
6486	6486	-3.51143568398178
4528	4528	1.02895312123979
1019	1019	-.804856022044404
3294	3294	.939304492334914
1132	1132	.704864364251849
4385	4385	.960796171449119
5861	5861	-1.34509171372634
7199	7199	1.24296448023603
1242	1242	.732559305725813
4314	4314	-.0127122613942345
4638	4638	1.02554527375025
5287	5287	-1.16115686536697
1077	1077	-1.21829756900812
2150	2150	-1.07482472896545
3186	3186	-1.2668001375425
4172	4172	.304306471207792
3347	3347	.10769834990261
7433	7433	1.39320560870459
6334	6334	-1.38528209599526
6290	6290	.0641450877865936
1128	1128	-.878216607660272
2085	2085	-.979316083183094
3281	3281	1.01834238485592
1274	1274	1.62493923799286
2366	2366	-.213775263276701
1110	1110	.748462594010302
3206	3206	.680216728144208
3154	3154	-.255056627066361
6366	6366	-1.37130746055485
5205	5205	1.33565939529778
1157	1157	1.23535262345587
4278	4278	-.00135276976245676
4687	4687	-.408182086480581
6443	6443	-.0440659216443903
2196	2196	.0527855961548159
5473	5473	-.461323264774028
1196	1196	-.543200520598256
5046	5046	-.422949425601892
7229	7229	-.634076453652477
3280	3280	-.379623841100656
5768	5768	.528748295526304
5809	5809	-2.45500296222645
3150	3150	1.03804071454521
5609	5609	-.172881093402301
4303	4303	.281587487944237
2274	2274	.0259100101538099
5822	5822	-.0122593450754126
7347	7347	.24498868234664
3058	3058	-1.93246634716467
4673	4673	-.177424890055012
5091	5091	-2.41881210530524
6456	6456	.276795258915617
1102	1102	-1.91122655854657
6469	6469	-.14804972811287
6417	6417	-.721887784699437
1062	1062	-2.29710602854474
6465	6465	-.866197276856004
4311	4311	1.31407636119741
2135	2135	-.465955977502167
276	276	-1.97534003455653
7403	7403	.623872186304142
7218	7218	-.401594069116294
3041	3041	-.417110163485522
2029	2029	.0309067231253429
5157	5157	.0494216970982727
1120	1120	-.720319673978561
162	162	.28604236852152
3162	3162	1.00509818881305
5331	5331	-2.67440066702024
190	190	.923309849064252
5233	5233	-.825075429366824
1188	1188	-.504921494532482
5149	5149	-.648843792773789
4323	4323	.543743312262395
5293	5293	.526863591115209
2272	2272	.0520368409068986
7293	7293	-1.70111991179167
6284	6284	.497328912872587
5374	5374	-.0830521934358292
7311	7311	-.821895259492071
5441	5441	.701456516762316
1056	1056	.489034023248072
7163	7163	-.0667849049079458
3079	3079	-1.09413586473948
4463	4463	1.59465580450232
3336	3336	-.176288940891834
3165	3165	-.421653960138234
7288	7288	1.23985247167559
304	304	-.206166864616727
4109	4109	1.64463756768214
7176	7176	.366351513624872
210	210	1.21326926648348
3160	3160	-.679514420179588
1208	1208	-.12783032079045
3252	3252	.449707964094547
5749	5749	1.01970601163388
3065	3065	-.431877502606833
5553	5553	.676465635172405
2073	2073	-1.10617838921561
6637	6637	-.545631935225092
3097	3097	-1.235153077274
7364	7364	.633731728529347
3080	3080	-1.47240693607768
3335	3335	-.971453355116277
4004	4004	.409949743383325
4484	4484	-.0797332620217232
1176	1176	-.0978195325571403
3212	3212	-.265236221101971
3105	3105	-.124422473300917
5478	5478	.539359031910164
2301	2301	-.413702315995989
3157	3157	1.06984729111419
6495	6495	-1.31716909463758
6311	6311	-1.3114454003887
3211	3211	-.930559185241877
3323	3323	.11792189237121
5185	5185	-.312602840473167
1259	1259	.00966347638705058
6558	6558	-.728519750496713
5631	5631	.939213137348741
2256	2256	-2.16987972226883
6292	6292	-.511737189511548
5558	5558	-1.27263939965887
5359	5359	.199799148195437
5181	5181	.357447649501239
7355	7355	-.297995017652337
5682	5682	.241397105675317
7384	7384	.129281384002987
2248	2248	-.248989687335212
3114	3114	-.309582186898894
5114	5114	1.54905832167473
5230	5230	1.20486572523186
1015	1015	1.33527220138252
3011	3011	.292946979576014
5388	5388	.0884761302040148
1227	1227	-.192535474658593
4538	4538	1.55148973630156
3328	3328	1.50491582061127
4062	4062	-.3569048578371
1033	1033	.846814061216081
3316	3316	-1.08539151691632
5012	5012	1.03849363086403
7351	7351	-1.92224280469607
6444	6444	.22628997919192
4627	4627	-1.89423126953189
2250	2250	1.03576881621885
4054	4054	-1.26923155216933
4002	4002	.0361335526224098
1020	1020	-.265236221101971
240	240	1.42501218527357
1224	1224	-2.69825559944698
6429	6429	-.319805729367494
109	109	-.162817067234181
4148	4148	.318984894253676
3273	3273	-.620445063694344
7221	7221	1.05507995199287
7369	7369	-.503442299887033
6359	6359	-.4898109099289
7395	7395	-.994083422304405
4144	4144	-.933514116412588
7400	7400	1.2175206823273
5677	5677	.485582227325548
2156	2156	-.448463823735678
4296	4296	1.29362927626021
4159	4159	2.17626177604934
1076	1076	.486718176488726
7187	7187	.333365039459726
6483	6483	-1.30808150133216
1158	1158	.49471376906396
5207	5207	.681441593382813
6264	6264	-2.04981235645426
7405	7405	-.623399994865055
5190	5190	-.596590131267611
1047	1047	-1.4030251210484
7410	7410	.478810480779472
4666	4666	2.37959667625816
1205	1205	-.989175625408299
6273	6273	.749509627098053
5581	5581	-1.06451227042143
5583	5583	.633299566971649
303	303	.52468060886428
6351	6351	-.0195279563733012
1253	1253	.935418095943947
2027	2027	-2.24387593417587
69	69	.871848891238982
6489	6489	-.213934779577181
6277	6277	.956341290871835
5059	5059	-1.40652188461336
5279	5279	.212205672914965
7353	7353	.137981783393149
1043	1043	-1.01841446472183
6470	6470	.596156490069053
2057	2057	-.934310278213681
5126	5126	-1.40538593545019
239	239	-.178268458409291
2018	2018	2.11492052123774
1247	1247	.858173552847858
3158	3158	.451731430044995
7361	7361	1.4330077778488
4345	4345	.045221145927832
2175	2175	-.701097454279966
2353	2353	-.000376336899759648
7324	7324	-2.10188228877864
4271	4271	2.09674533462689
5788	5788	1.07098324027736
2235	2235	-2.41592777435958
1104	1104	-.903683599240871
6478	6478	.157336867600161
6481	6481	-.335232907661295
4010	4010	-1.31110215490643
2221	2221	.747237728771697
1118	1118	-.471546807242628
6296	6296	-.099431591711006
3269	3269	.33716008086452
1057	1057	.700276619166148
7223	7223	-.710868080429744
6420	6420	.74026251749215
3231	3231	-.155841855954634
4344	4344	-.115107202380715
3261	3261	1.84229272207507
6279	6279	-.788908785326925
3163	3163	-.0672378212267677
5156	5156	.453479811827475
6449	6449	.967268620945915
1273	1273	1.2592075558826
5216	5216	1.2686383946703
92	92	-.751422462942059
2051	2051	-.835139455534944
1109	1109	-1.12287783930119
5347	5347	1.24523637856238
6578	6578	-.717160258864936
2307	2307	-1.2054588827309
6628	6628	-.165612482104412
6275	6275	.870668993642814
4035	4035	.592837558654947
4096	4096	-.625376054262316
2316	2316	-.606020970055304
3070	3070	.13836897730841
6442	6442	.172447452203743
5858	5858	.618715957032128
7278	7278	1.36480687962515
7271	7271	-.0392262860625839
6339	6339	-.894119895944761
4722	4722	.381462098228453
3283	3283	.473473980445853
2276	2276	-.23990209402979
3172	3172	-1.07596067812863
6346	6346	-.613176452396456
5282	5282	.79153974613563
1092	1092	1.05780476663805
5270	5270	-.0819162442726514
4633	4633	-.968388753109014
4501	4501	-.784408937107204
2047	2047	.621940075339871
4184	4184	-1.43757970593443
1243	1243	.829818772201404
5545	5545	-1.84340939611799
1115	1115	.724359229207661
5390	5390	.0691649944299926
4644	4644	.471202082119498
1052	1052	.625347922829405
2358	2358	-.98508474507441
3156	3156	2.22851543755552
4262	4262	.12814543483981
4678	4678	-1.53277175802658
7366	7366	-.0770084473765458
6364	6364	.880936484544404
6267	6267	1.23387688693061
6285	6285	-1.93360229632785
3093	3093	.777908356177497
2296	2296	.0740727913260983
4630	4630	.0781636716599875
2300	2300	-.677242521853233
6626	6626	-1.26443932314072
1166	1166	.140297630152495
4066	4066	.587068896763631
3179	3179	-1.03733840658059
1103	1103	-.55219919782825
1037	1037	.678397746136675
1054	1054	-.63332769840456
2102	2102	-1.16797256034603
1169	1169	-.0312746419203395
5321	5321	.152000367266543
6413	6413	1.43571183773286
4742	4742	.364422860780787
7329	7329	-.564034799450716
7290	7290	-.733291224764205
2066	2066	.558670167684186
2230	2230	.829026068520497
7391	7391	-.840978717651313
5255	5255	-1.31337405323279
2198	2198	.954956909332749
3191	3191	.823346322704608
1021	1021	-.617720249049167
7181	7181	.131166088414082
1164	1164	-1.28286294212747
3307	3307	.86310454341583
5008	5008	.498305345735284
5208	5208	-1.21811383982633
3326	3326	.147456570613832
1277	1277	-1.51478030059752
78	78	-2.03622491492911
3185	3185	-1.03733840658059
7340	7340	-.0785083967831181
3128	3128	1.03236096872932
7335	7335	.215613520404498
1022	1022	-.146665346573785
2218	2218	-.185376534197256
4099	4099	-1.59884053867268
1181	1181	.746554695927341
5162	5162	.157292919167171
3285	3285	.278090724379276
4077	4077	-.171745144239123
3071	3071	.396978192597682
6294	6294	-.0570142787581677
2252	2252	-2.16874377310565
6529	6529	-.0982956425478282
7429	7429	.677601584335582
6482	6482	1.15049968169981
6614	6614	-.0301386927571617
7399	7399	-.182311932189993
6457	6457	-1.16070394904814
1195	1195	.386982327743862
1141	1141	-.0619452693261394
5716	5716	1.52990670220118
5206	5206	-.763961852170004
3223	3223	.123601638187098
6494	6494	.414061378478338
4280	4280	1.16981081747383
310	310	-.698825555953611
2356	2356	.264459334421143
4245	4245	.156544163919254
7318	7318	1.0641675452983
4604	4604	1.07098324027736
4696	4696	-1.93246634716467
5551	5551	.0122786201956766
3144	3144	-1.24992041639531
3237	3237	-1.34972442645448
6644	6644	.287178317684698
5401	5401	-.737791072983925
1216	1216	.0971315619517392
4232	4232	-.0604221262477011
3213	3213	-.103588194448457
2058	2058	1.59692770282867
5203	5203	-.258236796941115
5547	5547	-.467091926665344
1165	1165	-.527297232313767
5092	5092	-1.14752547540883
4158	4158	1.50945961726398
7177	7177	-1.24180925595259
6255	6255	-.350000246782606
6365	6365	.150864418103365
5271	5271	.0633963325386764
5576	5576	.490966134212342
6490	6490	-.540179867023983
2369	2369	-.4489167400545
7396	7396	1.50605176977445
5180	5180	-.594229316865828
1232	1232	.715884068521541
115	115	-2.410860461163
5701	5701	-.888076149885477
6434	6434	-1.04113344798538
1108	1108	1.18466707267057
2023	2023	-.337593722063078
4294	4294	1.71165856830963
2288	2288	.483697522914453
4473	4473	-.225134754908478
2025	2025	-.920335642773277
5382	5382	-.892983946781583
2067	2067	-.0888208553271455
1182	1182	-.427720899869383
2036	2036	-1.16683661118285
3311	3311	.996987028370327
